sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
142,61209.03330,18.052,61209.03330,61211.23530,1.36951,3.57151,337.61752,-0.26172,563.32
974,61109.23152,18.071,61109.23152,61114.21982,4.93943,9.92773,115.75188,-0.32085,199.70
1254,60990.14695,14.574,60990.14695,60994.10861,1.13423,5.09589,43.90883,-0.38820,81.96
1364,61112.04942,16.702,61112.04942,61112.17764,2.82005,2.94827,166.22179,-0.31800,282.42
1762,60998.33003,15.825,60998.33003,60999.30766,2.48702,3.46465,76.23798,-0.38416,134.95
1810,61206.11688,15.194,61206.11688,61209.22732,2.97317,6.08361,80.05245,-0.26429,141.20
1951,61209.04533,11.247,61206.03484,61209.22369,0.48316,3.67201,4.33867,-0.26292,17.11
2152,60998.33003,20.289,60998.33003,61001.27511,6.33127,9.27634,277.26730,-0.38643,464.41
2528,62236.16286,19.533,62236.16286,62238.10711,5.27834,7.22259,298.47153,0.30655,499.16
2664,61023.29467,17.433,61023.29467,61025.21245,4.62531,6.54310,176.97972,-0.37071,300.05
3046,61743.29909,17.571,61743.29909,61746.26397,3.46131,6.42618,165.95310,0.03278,281.98
330,61300.34925,19.421,61300.34925,61302.36531,3.28306,5.29912,264.56154,-0.21134,443.59
413,61788.27628,18.957,61788.27628,61794.27573,2.49499,8.49444,322.93202,0.05798,539.25
579,61112.38230,16.615,61112.38230,61117.31106,0.99712,5.92588,122.61269,-0.31675,210.95
733,61375.02346,16.520,61375.02346,61377.09796,6.25578,8.33029,138.42158,-0.17133,236.86
926,61377.18983,14.992,61377.18983,61382.24670,1.20037,6.25724,57.71233,-0.16732,104.58
1036,61458.34374,15.911,61458.34374,61464.30942,3.21945,9.18513,123.25048,-0.12350,211.99
1116,61299.01945,15.144,61299.01945,61301.16260,2.95535,5.09850,49.67911,-0.21190,91.42
1248,61555.32380,18.164,61555.32380,61559.32518,2.73666,6.73804,319.81156,-0.06985,534.14
1296,62176.28930,13.481,62176.28930,62182.28262,3.37540,9.36872,34.07032,0.27341,65.84
1350,61141.26300,19.063,61141.26300,61142.27526,8.91580,9.92806,286.11020,-0.30469,478.90
1396,61875.34004,16.813,61875.34004,61878.31796,3.48751,6.46543,192.56334,0.10529,325.59
1451,61788.27628,17.505,61788.27628,61793.27172,4.90042,9.89586,222.40401,0.05666,374.50
1719,61141.26300,18.612,61141.26300,61142.27526,1.46302,2.47528,298.65435,-0.30042,499.46
1976,61818.29326,17.681,61818.29326,61822.32930,5.72318,9.75922,167.01202,0.07269,283.71
2332,62176.29464,18.463,62176.29464,62179.18659,2.99634,5.88829,297.63445,0.27363,497.79
2419,61048.13801,17.623,61048.13801,61052.32292,2.10490,6.28982,335.32629,-0.35467,559.56
2966,61522.99321,15.713,61522.99321,61526.98478,2.72028,6.71185,115.36376,-0.08761,199.07
3094,61646.97636,16.594,61646.97636,61650.04531,3.89603,6.96498,167.58000,-0.02023,284.64
3158,61409.36238,17.667,61409.36238,61414.31008,1.02287,5.97057,329.76945,-0.14937,550.46
3172,61170.18516,18.173,61170.18516,61172.36103,1.13119,3.30706,255.87415,-0.28368,429.35
3173,61787.16984,19.461,61787.16984,61788.27315,8.23472,9.33803,354.45061,0.05422,590.91
3345,61792.34223,17.952,61792.34223,61796.35522,3.43461,7.44759,241.87953,0.05969,406.41
3516,61556.32214,17.515,61556.32214,61561.41074,2.49830,7.58690,219.39457,-0.06917,369.56
3534,61855.04611,17.921,61855.04611,61858.09699,4.60205,7.65293,253.84534,0.09350,426.02
3675,61739.34526,18.689,61739.34526,61743.23952,3.25002,7.14429,316.19330,0.03073,528.21
